"ICAO Code","IATA Type Code","Model","Wikipedia Link"
"AT75","ATR","Aerospatiale/Alenia ATR 72-212A (500)","https://en.wikipedia.org/wiki/ATR_72"
"AT76","ATR","Aerospatiale/Alenia ATR 72-212A (600)","https://en.wikipedia.org/wiki/ATR_72"
"ATP","ATP","British Aerospace ATP","https://en.wikipedia.org/wiki/British_Aerospace_ATP"
"B190","BEH","Beechcraft 1900","https://en.wikipedia.org/wiki/Beechcraft_1900"
"B37M","7M7","Boeing 737 MAX 7","https://en.wikipedia.org/wiki/Boeing_737_MAX#737_MAX_7"
"B38M","7M8","Boeing 737 MAX 8","https://en.wikipedia.org/wiki/Boeing_737_MAX#737_MAX_8"
"B39M","7M9","Boeing 737 MAX 9","https://en.wikipedia.org/wiki/Boeing_737_MAX#737_MAX_9"
"B3XM","7MJ","Boeing 737 MAX 10","https://en.wikipedia.org/wiki/Boeing_737_MAX#737_MAX_10"
"B461","141","BAe 146-100","https://en.wikipedia.org/wiki/British_Aerospace_146"
"B462","142","BAe 146-200","https://en.wikipedia.org/wiki/British_Aerospace_146"
"B463","143","BAe 146-300","https://en.wikipedia.org/wiki/British_Aerospace_146"
"B52","N/A","Boeing B-52 Stratofortress","https://en.wikipedia.org/wiki/Boeing_B-52_Stratofortress"
"B703","703","Boeing 707","https://en.wikipedia.org/wiki/Boeing_707"
"B712","717","Boeing 717","https://en.wikipedia.org/wiki/Boeing_717"
"B720","B72","Boeing 720B","https://en.wikipedia.org/wiki/Boeing_720"
"B721","721","Boeing 727-100","https://en.wikipedia.org/wiki/Boeing_727"
"B722","722","Boeing 727-200","https://en.wikipedia.org/wiki/Boeing_727"
"B732","732","Boeing 737-200","https://en.wikipedia.org/wiki/Boeing_737"
"B732","73F","Boeing 737-200 Freighter","https://en.wikipedia.org/wiki/Boeing_737_Classic"
"B732","73L","Boeing 737-200 Combi","https://en.wikipedia.org/wiki/Boeing_737"
"B733","733","Boeing 737-300","https://en.wikipedia.org/wiki/Boeing_737_Classic"
"B733","73C","Boeing 737-300 Winglets","https://en.wikipedia.org/wiki/Boeing_737_Classic"
